Indice,Estadistica,Escenario,Periodo,Media_Historica,Media_Futura,Cambio_Relativo_Medio,Cambio_Relativo_Mediana,Cambio_Relativo_Min,Cambio_Relativo_Max,Cambio_Relativo_P25,Cambio_Relativo_P75
CWD,value,SSP2-4.5,2020-2040,41.97234857895795,40.76715128225439,-1.94612304050433,-2.697050153014587,-15.102760960908022,15.421332930167381,-5.815853239176992,2.1083913561978957
CWD,value,SSP2-4.5,2040-2060,41.97234857895795,41.337434235180126,-1.381373392933479,-1.6186360622891232,-14.368451021504752,14.800265649221709,-4.1557684790569445,1.1092984249991258
CWD,value,SSP2-4.5,2060-2080,41.97234857895795,39.64593942586114,-4.560566328717049,-4.292885193450051,-19.122390116541837,11.262950486818957,-9.043248619569733,-0.7720485686630805
CWD,value,SSP2-4.5,2080-2100,41.97234857895795,40.67467975223766,-2.431959612752565,-1.6646412890120708,-19.14203337306042,11.54608860365566,-6.776024905976819,1.6546153279321132
CWD,value,SSP3-7.0,2020-2040,41.97234857895795,41.16087475047392,-1.2208666038953786,-1.5076182065985382,-13.712584019256951,15.1459505843259,-4.472504270292766,2.037226486106411
CWD,value,SSP3-7.0,2040-2060,41.97234857895795,39.80214278052835,-4.473129055708494,-4.8631852261713675,-18.561303570468638,13.407766254133788,-8.34741409546563,-1.1355905296097395
CWD,value,SSP3-7.0,2060-2080,41.97234857895795,38.60004385443295,-7.994444698986132,-7.89332467261622,-24.37948999661423,5.452102491665163,-11.807784822221073,-3.89527244767594
CWD,value,SSP3-7.0,2080-2100,41.97234857895795,36.787235279083255,-12.035216537059293,-12.1583641641262,-30.962112193226925,11.971457012030374,-17.618609373826196,-7.214728569202333
CWD,value,SSP5-8.5,2020-2040,41.97234857895795,42.57445876682506,1.740522456745718,1.6166375879424615,-8.769391390100557,14.661924893822805,-0.7774490164241322,3.980398988190929
CWD,value,SSP5-8.5,2040-2060,41.97234857895795,39.902550423005046,-4.555294585123277,-4.10452107498813,-20.770067764044008,7.726395341776316,-8.942759692213336,-0.14722423728852896
CWD,value,SSP5-8.5,2060-2080,41.97234857895795,36.9653163281609,-11.667323459044091,-11.87944178113089,-27.762014833138345,6.975956924706615,-15.838479905629141,-7.565108497903378
CWD,value,SSP5-8.5,2080-2100,41.97234857895795,36.50008805892047,-12.611646873511773,-12.771147089934999,-30.959795976327374,14.342766521026395,-19.395372202550057,-5.932906905566899
